# Start time is 14:22:18
# 
# Freq, GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# Hz, mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 105; lockin V = 1mV (10uV), tau = 100ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
10.0000000 0.1525902 0.0305180 -0.0101231 -0.000455239541094 -0.000083554473704
10.4761575 0.1525902 0.0305180 -0.0093456 -0.000484846172817 0.000003349164962
10.9749877 0.1525902 0.0305180 -0.0099638 -0.000490709757004 -0.000003309782626
11.4975700 0.1525902 0.0305180 -0.0101485 -0.000485247047926 0.000002106743182
12.0450354 0.1525902 0.0305180 -0.0100549 -0.000487781407671 -0.000002838015790
12.6185688 0.1525902 0.0305180 -0.0102077 -0.000482515976808 0.000001284983719
13.2194115 0.1525902 0.0305180 -0.0093770 -0.000484020302718 0.000001419153277
13.8488637 0.1525902 0.0305180 -0.0098423 -0.000487137875817 -0.000000881485275
14.5082878 0.1525902 0.0305180 -0.0093677 -0.000490674334930 0.000004512074896
15.1991108 0.1525902 0.0305180 -0.0097834 -0.000490734772086 0.000001557992089
15.9228279 0.1525902 0.0305180 -0.0096869 -0.000486868017094 0.000002059632405
16.6810054 0.1525902 0.0305180 -0.0103249 -0.000490126208832 0.000003759714573
17.4752840 0.1525902 0.0305180 -0.0095630 -0.000485371107128 0.000001655602950
18.3073828 0.1525902 0.0305180 -0.0093055 -0.000488792908987 0.000006256552284
19.1791026 0.1525902 0.0305180 -0.0103142 -0.000490482355664 0.000003216307659
20.0923300 0.1525902 0.0305180 -0.0095879 -0.000486160960702 0.000000666865205
21.0490414 0.1525902 0.0305180 -0.0093361 -0.000490144998632 -0.000001508592795
22.0513074 0.1525902 0.0305180 -0.0098259 -0.000489010619965 0.000002710399284
23.1012970 0.1525902 0.0305180 -0.0098757 -0.000488976299268 0.000001081681114
24.2012826 0.1525902 0.0305180 -0.0096173 -0.000487107199360 0.000003751167294
25.3536449 0.1525902 0.0305180 -0.0094373 -0.000490243793695 0.000003455516357
26.5608778 0.1525902 0.0305180 -0.0095168 -0.000486869702349 0.000003598593859
27.8255940 0.1525902 0.0305180 -0.0095307 -0.000489024987219 0.000002689044888
29.1505306 0.1525902 0.0305180 -0.0098216 -0.000487228822608 0.000003344153252
30.5385551 0.1525902 0.0305180 -0.0097056 -0.000487912964466 0.000002571682651
31.9926714 0.1525902 0.0305180 -0.0100492 -0.000485912631420 0.000005437091323
33.5160265 0.1525902 0.0305180 -0.0096755 -0.000488052881748 0.000005346696690
35.1119173 0.1525902 0.0305180 -0.0098898 -0.000488205694255 0.000005906603125
36.7837977 0.1525902 0.0305180 -0.0095760 -0.000487799006221 0.000006737819753
38.5352859 0.1525902 0.0305180 -0.0095440 -0.000487287507545 0.000003006040234
40.3701726 0.1525902 0.0305180 -0.0097492 -0.000487755291212 0.000004055032453
42.2924287 0.1525902 0.0305180 -0.0096682 -0.000488441019642 0.000005059648249
44.3062146 0.1525902 0.0305180 -0.0097220 -0.000485826743919 0.000004794429411
46.4158883 0.1525902 0.0305180 -0.0097065 -0.000485846780772 0.000003319202197
48.6260158 0.1525902 0.0305180 -0.0097514 -0.000489345529882 0.000002739687711
50.9413801 0.1525902 0.0305180 -0.0097903 -0.000476153160651 0.000006966541572
53.3669923 0.1525902 0.0305180 -0.0098234 -0.000491404774015 0.000001015108549
55.9081018 0.1525902 0.0305180 -0.0098395 -0.000487285242524 0.000003668298449
58.5702082 0.1525902 0.0305180 -0.0097773 -0.000488185193354 0.000006081856133
61.3590727 0.1525902 0.0305180 -0.0096945 -0.000487817638010 0.000005274879804
64.2807312 0.1525902 0.0305180 -0.0096544 -0.000489377532692 0.000006648655138
67.3415066 0.1525902 0.0305180 -0.0097085 -0.000487614785941 0.000008338925351
70.5480231 0.1525902 0.0305180 -0.0097962 -0.000490117740264 0.000007441445133
73.9072203 0.1525902 0.0305180 -0.0096355 -0.000489076965792 0.000007522796132
77.4263683 0.1525902 0.0305180 -0.0096186 -0.000489773080069 0.000006667854357
81.1130831 0.1525902 0.0305180 -0.0096716 -0.000488854879261 0.000006969102642
84.9753436 0.1525902 0.0305180 -0.0099035 -0.000487369491176 0.000008430079495
89.0215085 0.1525902 0.0305180 -0.0098140 -0.000487753090805 0.000009076097232
93.2603347 0.1525902 0.0305180 -0.0098677 -0.000487415720263 0.000009792759989
97.7009957 0.1525902 0.0305180 -0.0098192 -0.000488349681641 0.000010007252593
102.3531022 0.1525902 0.0305180 -0.0098518 -0.000487795099413 0.000008739562563
107.2267222 0.1525902 0.0305180 -0.0098325 -0.000487822867058 0.000010666970884
112.3324033 0.1525902 0.0305180 -0.0098545 -0.000487361812076 0.000011540903350
117.6811952 0.1525902 0.0305180 -0.0096840 -0.000486649091371 0.000012548897292
123.2846739 0.1525902 0.0305180 -0.0098138 -0.000487684517551 0.000012599458466
129.1549665 0.1525902 0.0305180 -0.0098344 -0.000489975034588 0.000013296103754
135.3047775 0.1525902 0.0305180 -0.0097490 -0.000488739192880 0.000013415324530
141.7474163 0.1525902 0.0305180 -0.0097669 -0.000488282273204 0.000015210589829
148.4968262 0.1525902 0.0305180 -0.0098512 -0.000489273712997 0.000016225614967
155.5676144 0.1525902 0.0305180 -0.0098081 -0.000486489441510 0.000013376669397
162.9750835 0.1525902 0.0305180 -0.0097868 -0.000487866192620 0.000016719565022
170.7352647 0.1525902 0.0305180 -0.0098326 -0.000487404549061 0.000017891333559
178.8649529 0.1525902 0.0305180 -0.0097619 -0.000488002178423 0.000019006375555
187.3817423 0.1525902 0.0305180 -0.0097340 -0.000487726201913 0.000018950619402
196.3040650 0.1525902 0.0305180 -0.0097570 -0.000486482317504 0.000019800507175
205.6512308 0.1525902 0.0305180 -0.0097847 -0.000486246085757 0.000020535141481
215.4434690 0.1525902 0.0305180 -0.0098223 -0.000487109920791 0.000023379407223
225.7019720 0.1525902 0.0305180 -0.0098027 -0.000487565004249 0.000023665233868
236.4489413 0.1525902 0.0305180 -0.0098008 -0.000487267204598 0.000024284637030
247.7076356 0.1525902 0.0305180 -0.0097408 -0.000487259375711 0.000025698732192
259.5024211 0.1525902 0.0305180 -0.0098020 -0.000488345563369 0.000025653106953
271.8588243 0.1525902 0.0305180 -0.0097869 -0.000486299402431 0.000028852488637
284.8035868 0.1525902 0.0305180 -0.0097266 -0.000487900207867 0.000030776313809
298.3647240 0.1525902 0.0305180 -0.0097356 -0.000487106241895 0.000031190737922
312.5715850 0.1525902 0.0305180 -0.0097721 -0.000486167254122 0.000033414436859
327.4549163 0.1525902 0.0305180 -0.0097951 -0.000486653148553 0.000035180627545
343.0469286 0.1525902 0.0305180 -0.0097392 -0.000487696554583 0.000035941562755
359.3813664 0.1525902 0.0305180 -0.0098001 -0.000486907102792 0.000035681782080
376.4935807 0.1525902 0.0305180 -0.0097578 -0.000486229509286 0.000038851903532
394.4206059 0.1525902 0.0305180 -0.0097278 -0.000485471151006 0.000040781058786
413.2012400 0.1525902 0.0305180 -0.0097396 -0.000484910643071 0.000043900904541
432.8761281 0.1525902 0.0305180 -0.0097622 -0.000485582521748 0.000045626938109
453.4878508 0.1525902 0.0305180 -0.0097743 -0.000485793513440 0.000047133225940
475.0810162 0.1525902 0.0305180 -0.0098035 -0.000486755015138 0.000049109706960
497.7023564 0.1525902 0.0305180 -0.0097678 -0.000485199056634 0.000051973079698
521.4008288 0.1525902 0.0305180 -0.0097527 -0.000485554283007 0.000055952110030
546.2277218 0.1525902 0.0305180 -0.0098023 -0.000484840701172 0.000057463101773
572.2367659 0.1525902 0.0305180 -0.0097952 -0.000484563844735 0.000060301083493
599.4842503 0.1525902 0.0305180 -0.0097596 -0.000484130314213 0.000063256998993
628.0291442 0.1525902 0.0305180 -0.0098067 -0.000484258260839 0.000065689245444
657.9332247 0.1525902 0.0305180 -0.0097294 -0.000482592078200 0.000068575855200
689.2612104 0.1525902 0.0305180 -0.0098334 -0.000482915375776 0.000072235318542
722.0809018 0.1525902 0.0305180 -0.0097915 -0.000481335846023 0.000076085468867
756.4633276 0.1525902 0.0305180 -0.0098015 -0.000481306055955 0.000079687238219
792.4828984 0.1525902 0.0305180 -0.0098371 -0.000480785994727 0.000082640049888
830.2175681 0.1525902 0.0305180 -0.0098287 -0.000479481130990 0.000085889859406
869.7490026 0.1525902 0.0305180 -0.0098351 -0.000479663720643 0.000090753605721
911.1627561 0.1525902 0.0305180 -0.0098222 -0.000478411083364 0.000094360816761
954.5484567 0.1525902 0.0305180 -0.0098167 -0.000478215319469 0.000098762154133
1000.0000000 0.1525902 0.0305180 -0.0098647 -0.000476700171861 0.000104820564722
# End time is 14:25:45
# 
