# Start time is 14:53:28
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 121.3; lockin V = 499.9mV, tau = 300ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
-3499.9618524 0.0305180 0.0002746 -0.000000312618029 -0.000000102945055
-3480.1251240 0.0305180 0.0002717 0.000000149031403 -0.000000264335386
-3459.9832151 0.0305180 0.0002703 -0.000000056703632 -0.000000266788962
-3440.1464866 0.0305180 0.0002719 -0.000000050407862 -0.000000452853095
-3420.0045777 0.0305180 0.0002733 -0.000000039936255 -0.000000397143347
-3399.8626688 0.0305180 0.0002739 0.000000307714989 -0.000000205107103
-3380.0259403 0.0305180 0.0002714 -0.000000087563946 0.000000000264918
-3359.8840314 0.0305180 0.0002707 -0.000000260957240 0.000000116599790
-3340.0473030 0.0305180 0.0002698 -0.000000040800910 0.000000086434960
-3319.9053941 0.0305180 0.0002729 0.000000055069480 -0.000000234823159
-3300.0686656 0.0305180 0.0002680 -0.000000428924706 -0.000000083756996
-3279.9267567 0.0305180 0.0002686 -0.000000083910895 0.000000053875293
-3260.0900282 0.0305180 0.0002662 0.000000084704475 0.000000063922796
-3239.9481193 0.0305180 0.0002670 0.000000123576946 -0.000000173370973
-3220.1113909 0.0305180 0.0002679 -0.000000334956909 0.000000271658521
-3199.9694820 0.0305180 0.0002670 -0.000000115553041 0.000000138145091
-3180.1327535 0.0305180 0.0002631 -0.000000450835371 0.000000118168740
-3159.9908446 0.0305180 0.0002628 -0.000000175181932 -0.000000215757867
-3139.8489357 0.0305180 0.0002650 -0.000000285396080 -0.000000059699967
-3120.0122072 0.0305180 0.0002636 -0.000000206385288 -0.000000240352369
-3099.8702983 0.0305180 0.0002627 -0.000000275521861 -0.000000150409447
-3080.0335698 0.0305180 0.0002629 -0.000000146490892 0.000000381607164
-3059.8916609 0.0305180 0.0002634 -0.000000310930425 0.000000164957034
-3040.0549325 0.0305180 0.0002622 -0.000000239514735 0.000000100089696
-3019.9130236 0.0305180 0.0002636 0.000000178177092 -0.000000420680526
-3000.0762951 0.0305180 0.0002623 0.000000020277688 -0.000000038507694
-2979.9343862 0.0305180 0.0002621 0.000000005388822 -0.000000230238490
-2960.0976577 0.0305180 0.0002617 -0.000000151213013 -0.000000202249394
-2939.9557488 0.0305180 0.0002628 0.000000015429863 -0.000000226509077
-2920.1190204 0.0305180 0.0002628 0.000000115056687 -0.000000052443208
-2899.9771115 0.0305180 0.0002657 -0.000000398295241 -0.000000119032808
-2880.1403830 0.0305180 0.0002624 0.000000096769702 -0.000000137480740
-2859.9984741 0.0305180 0.0002641 0.000000131523314 -0.000000101614003
-2839.8565652 0.0305180 0.0002604 -0.000000266966945 -0.000000370547568
-2820.0198367 0.0305180 0.0002644 -0.000000290128187 -0.000000280041328
-2799.8779278 0.0305180 0.0002642 0.000000027225473 0.000000149107178
-2780.0411994 0.0305180 0.0002649 -0.000000203759016 -0.000000387317881
-2759.8992905 0.0305180 0.0002669 -0.000000159388467 -0.000000322176814
-2740.0625620 0.0305180 0.0002679 0.000000171819058 -0.000000382133476
-2719.9206531 0.0305180 0.0002654 -0.000000312075270 -0.000000154078945
-2700.0839246 0.0305180 0.0002664 0.000000032838682 -0.000000174929349
-2679.9420157 0.0305180 0.0002681 -0.000000016763265 -0.000000076394506
-2660.1052873 0.0305180 0.0002696 -0.000000033292156 -0.000000037981970
-2639.9633783 0.0305180 0.0002683 -0.000000170345268 -0.000000297752072
-2620.1266499 0.0305180 0.0002658 -0.000000056683072 -0.000000124202528
-2599.9847410 0.0305180 0.0002623 -0.000000366425771 -0.000000054593098
-2580.1480125 0.0305180 0.0002690 -0.000000144583599 -0.000000246259279
