# Start time is 15:17:45
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 1000mV (1e-3 factor); lockin freq = 121.3; lockin V = 499.9mV, tau = 300ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
-3499.9618524 999.9847410 0.0002705 -0.000000022893974 -0.000000014369016
-3480.1251240 999.9847410 0.0002699 0.000000033128271 -0.000000240928610
-3459.9832151 999.9847410 0.0002733 -0.000000007623297 -0.000000217155295
-3440.1464866 999.9847410 0.0002712 0.000000120743908 0.000000071781641
-3420.0045777 999.9847410 0.0002768 -0.000000080793556 -0.000000222204599
-3399.8626688 999.9847410 0.0002728 0.000000269789997 -0.000000284828651
-3380.0259403 999.9847410 0.0002733 0.000000057624677 -0.000000008711165
-3359.8840314 999.9847410 0.0002725 -0.000000182382887 -0.000000257301253
-3340.0473030 999.9847410 0.0002723 0.000000067536490 -0.000000325589030
-3319.9053941 999.9847410 0.0002766 -0.000000276647909 -0.000000182338245
-3300.0686656 999.9847410 0.0002758 -0.000000149866101 -0.000000298935098
-3279.9267567 999.9847410 0.0002758 0.000000112384010 -0.000000307652137
-3260.0900282 999.9847410 0.0002742 0.000000347577231 0.000000126622035
-3239.9481193 999.9847410 0.0002768 0.000000096586433 -0.000000144281675
-3220.1113909 999.9847410 0.0002760 0.000000115429687 -0.000000256989343
-3199.9694820 999.9847410 0.0002767 -0.000000113416662 -0.000000082665604
-3180.1327535 999.9847410 0.0002777 0.000000380529282 -0.000000092046994
-3159.9908446 999.9847410 0.0002759 -0.000000297510062 -0.000000234387307
-3139.8489357 999.9847410 0.0002783 0.000000085537998 -0.000000224666399
-3120.0122072 999.9847410 0.0002786 0.000000112081498 -0.000000121955130
-3099.8702983 999.9847410 0.0002766 0.000000169517619 -0.000000379785044
-3080.0335698 999.9847410 0.0002781 -0.000000110998329 -0.000000252960943
-3059.8916609 999.9847410 0.0002776 0.000000016609953 -0.000000213970992
-3040.0549325 999.9847410 0.0002767 0.000000118865398 0.000000078960275
-3019.9130236 999.9847410 0.0002802 -0.000000290353749 -0.000000147678618
-3000.0762951 999.9847410 0.0002757 -0.000000218197346 -0.000000131895726
-2979.9343862 999.9847410 0.0002784 -0.000000133396537 -0.000000131334170
-2960.0976577 999.9847410 0.0002772 -0.000000280359112 -0.000000020183116
-2939.9557488 999.9847410 0.0002746 -0.000000247858773 0.000000242233229
-2920.1190204 999.9847410 0.0002787 -0.000000013389230 -0.000000143676651
-2899.9771115 999.9847410 0.0002756 -0.000000297252780 -0.000000009293867
-2880.1403830 999.9847410 0.0002769 -0.000000192856844 -0.000000310917502
-2859.9984741 999.9847410 0.0002762 -0.000000139935491 -0.000000254433559
-2839.8565652 999.9847410 0.0002727 0.000000004469538 -0.000000178275776
-2820.0198367 999.9847410 0.0002764 -0.000000034138602 -0.000000322380643
-2799.8779278 999.9847410 0.0002761 -0.000000187851596 -0.000000221974338
-2780.0411994 999.9847410 0.0002757 -0.000000222738547 -0.000000148379975
-2759.8992905 999.9847410 0.0002753 0.000000128768988 -0.000000133306077
-2740.0625620 999.9847410 0.0002760 -0.000000539073066 -0.000000292412004
-2719.9206531 999.9847410 0.0002725 -0.000000249520532 0.000000135364332
-2700.0839246 999.9847410 0.0002748 -0.000000132372109 0.000000007595102
-2679.9420157 999.9847410 0.0002775 -0.000000155129806 -0.000000001943124
-2660.1052873 999.9847410 0.0002742 -0.000000018435597 -0.000000010113292
-2639.9633783 999.9847410 0.0002704 -0.000000360787891 -0.000000143934520
-2620.1266499 999.9847410 0.0002734 -0.000000205423125 -0.000000240996161
-2599.9847410 999.9847410 0.0002757 0.000000143866969 -0.000000147816070
-2580.1480125 999.9847410 0.0002744 -0.000000224914870 -0.000000253840283
-2560.0061036 999.9847410 0.0002751 0.000000178614119 -0.000000351416488
-2539.8641947 999.9847410 0.0002779 -0.000000055776712 -0.000000166803824
-2520.0274662 999.9847410 0.0002750 0.000000012761298 0.000000151906147
-2499.8855573 999.9847410 0.0002779 0.000000041797143 -0.000000235538614
-2480.0488289 999.9847410 0.0002792 -0.000000204389886 0.000000121492258
-2459.9069200 999.9847410 0.0002754 0.000000145344871 0.000000020334079
-2440.0701915 999.9847410 0.0002620 -0.000000041904637 -0.000000072611052
-2419.9282826 999.9847410 0.0002652 -0.000000299692846 -0.000000433161046
-2400.0915541 999.9847410 0.0002665 -0.000000291083889 -0.000000347104373
-2379.9496452 999.9847410 0.0002719 0.000000065549899 -0.000000105934341
-2360.1129168 999.9847410 0.0002624 -0.000000116156302 -0.000000303899228
-2339.9710079 999.9847410 0.0002733 -0.000000595163450 0.000000037581950
-2320.1342794 999.9847410 0.0002637 0.000000208791873 -0.000000282340418
-2299.9923705 999.9847410 0.0002734 0.000000113582309 0.000000066899160
-2279.8504616 999.9847410 0.0002679 -0.000000007327834 -0.000000411984046
-2260.0137331 999.9847410 0.0002667 -0.000000059037965 -0.000000283114613
-2239.8718242 999.9847410 0.0002627 0.000000050658682 -0.000000142757955
-2220.0350958 999.9847410 0.0002600 -0.000000053655605 -0.000000146931443
-2199.8931868 999.9847410 0.0002679 -0.000000084066557 -0.000000173168907
-2180.0564584 999.9847410 0.0002721 -0.000000049673023 -0.000000028417898
-2159.9145495 999.9847410 0.0002700 0.000000129241846 -0.000000005133889
-2140.0778210 999.9847410 0.0002765 -0.000000277487894 -0.000000385980956
-2119.9359121 999.9847410 0.0002634 0.000000040550677 -0.000000376403961
-2100.0991836 999.9847410 0.0002779 0.000000109800030 -0.000000044970873
-2079.9572747 999.9847410 0.0002776 0.000000031698536 -0.000000268309745
-2060.1205463 999.9847410 0.0002619 -0.000000567546767 -0.000000237306105
-2039.9786374 999.9847410 0.0002725 -0.000000168886750 -0.000000438969860
-2020.1419089 999.9847410 0.0002781 -0.000000040922502 -0.000000387336091
-2000.0000000 999.9847410 0.0002775 0.000000098721050 0.000000079891894
-1979.8580911 999.9847410 0.0002775 -0.000000388111461 0.000000106186924
-1960.0213626 999.9847410 0.0002802 -0.000000279114408 -0.000000495450279
-1939.8794537 999.9847410 0.0002792 -0.000000429881583 0.000000034203216
-1920.0427253 999.9847410 0.0002822 -0.000000311524875 -0.000000161872001
-1899.9008164 999.9847410 0.0002829 0.000000136877478 -0.000000068935094
-1880.0640879 999.9847410 0.0002782 -0.000000155206756 -0.000000214509052
-1859.9221790 999.9847410 0.0002795 -0.000000182768223 0.000000005176182
-1840.0854505 999.9847410 0.0002757 -0.000000402722486 -0.000000228876893
-1819.9435416 999.9847410 0.0002758 -0.000000132540693 -0.000000237253239
-1800.1068132 999.9847410 0.0002744 -0.000000177764737 -0.000000022804689
-1779.9649042 999.9847410 0.0002584 -0.000000284609550 0.000000198714412
-1760.1281758 999.9847410 0.0002730 -0.000000584350563 -0.000000069208823
-1739.9862669 999.9847410 0.0002739 -0.000000370719089 -0.000000613599634
-1720.1495384 999.9847410 0.0002737 -0.000000229525972 0.000000047270550
-1700.0076295 999.9847410 0.0002487 -0.000000371627799 -0.000000318242399
-1679.8657206 999.9847410 0.0002419 -0.000000194724193 -0.000000011719835
-1660.0289921 999.9847410 0.0002290 -0.000000132423213 -0.000000418481882
-1639.8870832 999.9847410 0.0002518 -0.000000113665132 -0.000000026087677
-1620.0503548 999.9847410 0.0002189 -0.000000384874291 -0.000000246069548
-1599.9084459 999.9847410 0.0002371 -0.000000123517031 -0.000000172801781
-1580.0717174 999.9847410 0.0002362 -0.000000120202911 0.000000265195929
-1559.9298085 999.9847410 0.0002413 -0.000000002347844 0.000000023767441
-1540.0930800 999.9847410 0.0000390 -0.000000213109274 0.000000075401797
-1519.9511711 999.9847410 0.0002368 -0.000000533235469 -0.000000152384291
-1500.1144427 999.9847410 0.0001365 -0.000000353763744 -0.000000399388983
-1479.9725338 999.9847410 0.0002681 -0.000000178759207 -0.000000292495415
-1460.1358053 999.9847410 0.0002208 -0.000001101742051 0.000000004997612
-1439.9938964 999.9847410 0.0001984 -0.000002775453415 -0.000000616167754
-1419.8519875 999.9847410 0.0001459 -0.000003021994647 -0.000000046356554
-1400.0152590 999.9847410 -0.0000805 -0.000002341781330 -0.000000060031849
-1379.8733501 999.9847410 -0.0001989 -0.000002221866245 -0.000000005321270
-1360.0366217 999.9847410 -0.0002196 -0.000002376166053 -0.000000189328910
-1339.8947127 999.9847410 -0.0003688 -0.000002844974735 -0.000000034418792
-1320.0579843 999.9847410 -0.0004458 -0.000002430185259 -0.000000302610470
-1299.9160754 999.9847410 -0.0005506 -0.000003059287595 -0.000000422006291
-1280.0793469 999.9847410 -0.0007813 -0.000006236998274 -0.000000225297268
-1259.9374380 999.9847410 -0.0012709 -0.000005555818094 0.000000037233033
-1240.1007095 999.9847410 -0.0009519 -0.000005029263730 -0.000000224809725
-1219.9588006 999.9847410 -0.0008268 -0.000004765195024 -0.000000059203612
-1200.1220722 999.9847410 -0.0008817 -0.000004580166480 -0.000000160109796
-1179.9801633 999.9847410 -0.0010449 -0.000007818038824 0.000000325925024
-1160.1434348 999.9847410 -0.0012669 -0.000009250348133 -0.000000172278994
-1140.0015259 999.9847410 -0.0011820 -0.000008851355059 0.000000162646196
-1119.8596170 999.9847410 -0.0012551 -0.000010952331720 -0.000000220233279
-1100.0228885 999.9847410 -0.0012525 -0.000012504945561 0.000000369929621
-1079.8809796 999.9847410 -0.0017970 -0.000014477887486 0.000000388311765
-1060.0442512 999.9847410 -0.0020324 -0.000015900267359 0.000000561914762
-1039.9023423 999.9847410 -0.0019335 -0.000016423747851 0.000000314799639
-1020.0656138 999.9847410 -0.0021383 -0.000015689381400 0.000000120475466
-999.9237049 999.9847410 -0.0028925 -0.000017190628152 0.000000370174568
-980.0869764 999.9847410 -0.0032191 -0.000016571652619 0.000000392763094
-959.9450675 999.9847410 -0.0030694 -0.000016433323084 -0.000000205484215
-940.1083391 999.9847410 -0.0031046 -0.000017740615726 -0.000000505154152
-919.9664302 999.9847410 -0.0031201 -0.000016522187536 0.000000276881695
-900.1297017 999.9847410 -0.0031331 -0.000016930490925 0.000000193485951
-879.9877928 999.9847410 -0.0032156 -0.000016426345341 0.000000541312828
-860.1510643 999.9847410 -0.0034740 -0.000016553871975 0.000000217985294
-840.0091554 999.9847410 -0.0035296 -0.000017700552004 0.000000559791892
-819.8672465 999.9847410 -0.0032917 -0.000018517814321 0.000000027812875
-800.0305180 999.9847410 -0.0031339 -0.000021364912513 0.000000220643873
-779.8886091 999.9847410 -0.0035862 -0.000021604290971 0.000000156653526
-760.0518807 999.9847410 -0.0037998 -0.000021485179451 0.000000593640318
-739.9099718 999.9847410 -0.0041264 -0.000024758754647 0.000000126835849
-720.0732433 999.9847410 -0.0039218 -0.000028323946506 0.000000456413923
-699.9313344 999.9847410 -0.0044590 -0.000032116785826 0.000000565123736
-680.0946059 999.9847410 -0.0051612 -0.000037331284278 0.000001307021850
-659.9526970 999.9847410 -0.0056654 -0.000040794091463 0.000000988047548
-640.1159686 999.9847410 -0.0058140 -0.000042433137914 0.000002005009350
-619.9740597 999.9847410 -0.0057792 -0.000044221560573 0.000001096098884
-600.1373312 999.9847410 -0.0054578 -0.000043476291949 0.000000275158259
-579.9954223 999.9847410 -0.0064666 -0.000043200044647 0.000000934669784
-559.8535134 999.9847410 -0.0071596 -0.000043389018180 0.000001357124850
-540.0167849 999.9847410 -0.0077681 -0.000044471546327 0.000001536564269
-519.8748760 999.9847410 -0.0080970 -0.000044741836202 0.000001080198512
-500.0381476 999.9847410 -0.0093741 -0.000043776649734 0.000001375542825
-479.8962387 999.9847410 -0.0102108 -0.000043956808719 0.000000795784567
-460.0595102 999.9847410 -0.0105907 -0.000046097415599 0.000000835071744
-439.9176013 999.9847410 -0.0106465 -0.000050406842254 0.000000941169382
-420.0808728 999.9847410 -0.0110331 -0.000053339245833 0.000001304806759
-399.9389639 999.9847410 -0.0113741 -0.000052763020796 0.000000878782641
-380.1022354 999.9847410 -0.0116274 -0.000050998728004 0.000000956269126
-359.9603265 999.9847410 -0.0122146 -0.000045875145798 -0.000001699244534
-340.1235981 999.9847410 -0.0124650 -0.000046210945629 -0.000001579033399
-319.9816892 999.9847410 -0.0129078 -0.000045645274435 0.000000776316906
-300.1449607 999.9847410 -0.0128255 -0.000046159143276 0.000001094699107
-280.0030518 999.9847410 -0.0124966 -0.000046655659101 0.000000593875866
-259.8611429 999.9847410 -0.0121286 -0.000047710868965 0.000001069106609
-240.0244144 999.9847410 -0.0120982 -0.000049458957111 0.000000979671203
-219.8825055 999.9847410 -0.0111168 -0.000049183711916 0.000001212799120
-200.0457771 999.9847410 -0.0110444 -0.000048057176234 0.000000380825920
-179.9038682 999.9847410 -0.0114301 -0.000045668157836 0.000001261218041
-160.0671397 999.9847410 -0.0116765 -0.000044771296151 0.000001253645848
-139.9252308 999.9847410 -0.0123755 -0.000043340079409 0.000000816818829
-120.0885023 999.9847410 -0.0120689 -0.000043155788642 0.000001440682130
-99.9465934 999.9847410 -0.0111986 -0.000042191595469 0.000000873923068
-80.1098650 999.9847410 -0.0109292 -0.000041631884638 0.000000923234251
-59.9679561 999.9847410 -0.0098900 -0.000043801056855 0.000001180238866
-40.1312276 999.9847410 -0.0089005 -0.000044998998828 0.000001024831807
-19.9893187 999.9847410 -0.0082305 -0.000044624778239 0.000001136774678
0.1525902 999.9847410 -0.0076665 -0.000044990278852 0.000000898876472
19.9893187 999.9847410 -0.0069785 -0.000044941286628 0.000000977825587
40.1312276 999.9847410 -0.0074160 -0.000046152529722 0.000001164154638
59.9679561 999.9847410 -0.0077377 -0.000045144282022 0.000000966078731
80.1098650 999.9847410 -0.0080923 -0.000044242369859 0.000001235737150
99.9465934 999.9847410 -0.0081871 -0.000044046554861 0.000001011368564
120.0885023 999.9847410 -0.0081974 -0.000045618891883 0.000001475767036
139.9252308 999.9847410 -0.0079914 -0.000044828950198 0.000000743112273
160.0671397 999.9847410 -0.0080970 -0.000044213354573 0.000001467815381
179.9038682 999.9847410 -0.0078784 -0.000042026266610 0.000001136082719
200.0457771 999.9847410 -0.0082165 -0.000040240802693 0.000000944799524
219.8825055 999.9847410 -0.0079607 -0.000040405092439 0.000000481041319
240.0244144 999.9847410 -0.0077400 -0.000040750313602 0.000001182148509
259.8611429 999.9847410 -0.0080339 -0.000043163379044 0.000001269816424
280.0030518 999.9847410 -0.0081162 -0.000043893817541 0.000001067827249
300.1449607 999.9847410 -0.0082289 -0.000044368241195 0.000000637966812
319.9816892 999.9847410 -0.0087542 -0.000045672315464 0.000000975407255
340.1235981 999.9847410 -0.0089340 -0.000049585472826 0.000000986620163
359.9603265 999.9847410 -0.0091483 -0.000053023674349 0.000001581004131
380.1022354 999.9847410 -0.0095876 -0.000053466488752 0.000001789307873
399.9389639 999.9847410 -0.0107235 -0.000052778556391 0.000001757101235
420.0808728 999.9847410 -0.0109776 -0.000051411842798 0.000001294419737
439.9176013 999.9847410 -0.0109732 -0.000051845216484 0.000001090330014
460.0595102 999.9847410 -0.0105485 -0.000052000654088 0.000001326313291
479.8962387 999.9847410 -0.0104638 -0.000052104372751 0.000001273395462
500.0381476 999.9847410 -0.0104460 -0.000051454313103 0.000001434311173
519.8748760 999.9847410 -0.0104940 -0.000049884141244 0.000001163164279
540.0167849 999.9847410 -0.0114197 -0.000049352931135 0.000001586545090
559.8535134 999.9847410 -0.0113844 -0.000049310752769 0.000001345066084
579.9954223 999.9847410 -0.0113869 -0.000049713168631 0.000001389697440
600.1373312 999.9847410 -0.0107254 -0.000051562762110 0.000001415501989
619.9740597 999.9847410 -0.0098019 -0.000051816248190 0.000000464644593
640.1159686 999.9847410 -0.0100594 -0.000053613122382 0.000001158529681
659.9526970 999.9847410 -0.0105399 -0.000052821444926 0.000001331329700
680.0946059 999.9847410 -0.0114419 -0.000052380440895 0.000001317524002
699.9313344 999.9847410 -0.0117426 -0.000055584954706 0.000001513610379
720.0732433 999.9847410 -0.0110839 -0.000060784270003 0.000001309628150
739.9099718 999.9847410 -0.0094269 -0.000061558982716 0.000001400049217
760.0518807 999.9847410 -0.0087809 -0.000057532992569 0.000000965865505
779.8886091 999.9847410 -0.0087211 -0.000053650730177 0.000001059586006
800.0305180 999.9847410 -0.0088959 -0.000051386822430 0.000001190072555
819.8672465 999.9847410 -0.0094022 -0.000050643236125 0.000001075793588
840.0091554 999.9847410 -0.0098757 -0.000051206112463 0.000001037068555
860.1510643 999.9847410 -0.0105850 -0.000055709587212 0.000001597997657
879.9877928 999.9847410 -0.0110937 -0.000058325725585 0.000001152680924
900.1297017 999.9847410 -0.0112549 -0.000059576899648 0.000002062232831
919.9664302 999.9847410 -0.0115194 -0.000060407495392 0.000001201993869
940.1083391 999.9847410 -0.0120089 -0.000062476856341 0.000001704316746
959.9450675 999.9847410 -0.0121257 -0.000061993557637 0.000001394945285
980.0869764 999.9847410 -0.0121820 -0.000061930541789 0.000001737837989
999.9237049 999.9847410 -0.0121439 -0.000061431803824 0.000001637817607
1020.0656138 999.9847410 -0.0121545 -0.000060912278306 0.000001385883442
1039.9023423 999.9847410 -0.0121293 -0.000059924852228 0.000001716122929
1060.0442512 999.9847410 -0.0120397 -0.000058519593347 0.000001651536369
1079.8809796 999.9847410 -0.0119600 -0.000059027409016 0.000001477989763
1100.0228885 999.9847410 -0.0119374 -0.000059640102290 0.000001268725620
1119.8596170 999.9847410 -0.0122565 -0.000062055367550 0.000001497680637
1140.0015259 999.9847410 -0.0129735 -0.000065351492504 0.000001335406854
1160.1434348 999.9847410 -0.0130727 -0.000072586285667 0.000002333009663
1179.9801633 999.9847410 -0.0132188 -0.000074732455240 0.000001273512355
1200.1220722 999.9847410 -0.0132462 -0.000078718943221 0.000002247832330
1219.9588006 999.9847410 -0.0135088 -0.000079409884840 0.000001018151289
1240.1007095 999.9847410 -0.0145013 -0.000083026634693 0.000002142226346
1259.9374380 999.9847410 -0.0146005 -0.000083694907312 0.000002412957947
1280.0793469 999.9847410 -0.0149643 -0.000083338036801 0.000002053944009
1299.9160754 999.9847410 -0.0151123 -0.000083338664733 0.000002134681761
1320.0579843 999.9847410 -0.0155932 -0.000086408601918 0.000002707446416
1339.8947127 999.9847410 -0.0153276 -0.000085969059929 0.000001952454535
1360.0366217 999.9847410 -0.0155939 -0.000085918507566 0.000001513310804
1379.8733501 999.9847410 -0.0156612 -0.000084331646454 0.000002071865042
1400.0152590 999.9847410 -0.0159162 -0.000081932225763 0.000003116059952
1419.8519875 999.9847410 -0.0160932 -0.000078944716285 0.000002611893222
1439.9938964 999.9847410 -0.0163696 -0.000078019084260 0.000001294944287
1460.1358053 999.9847410 -0.0164692 -0.000077644957067 0.000001496505247
1479.9725338 999.9847410 -0.0163571 -0.000075936261243 0.000001867992657
1500.1144427 999.9847410 -0.0162644 -0.000076553330071 0.000001442876075
1519.9511711 999.9847410 -0.0162753 -0.000077420152042 0.000001895959431
1540.0930800 999.9847410 -0.0164555 -0.000076197222007 0.000002184974492
1559.9298085 999.9847410 -0.0165257 -0.000077721658197 0.000001900848374
1580.0717174 999.9847410 -0.0167884 -0.000077378701466 0.000002118850702
1599.9084459 999.9847410 -0.0170094 -0.000076371485831 0.000002354698289
