# Start time is 13:03:37
# 
# Range, Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
3.160000000000000142e+01 0.000000000000000000e+00 1.634727817648009539e+09 5.170540000000000136e-01 5.059190000000000076e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727829334517479e+09 4.905010000000000203e-01 5.059190000000000076e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727839378096581e+09 4.900360000000000271e-01 4.794780000000000153e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727849424474716e+09 4.570319999999999938e-01 4.685549999999999993e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727859472064495e+09 4.541109999999999869e-01 4.344709999999999961e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727869511367798e+09 4.201559999999999739e-01 4.321860000000000146e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727879552708864e+09 4.166969999999999841e-01 4.065770000000000217e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727889582125902e+09 3.912809999999999899e-01 4.071480000000000099e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727899627000570e+09 3.919690000000000119e-01 3.886830000000000007e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727909668990135e+09 3.740260000000000251e-01 3.846539999999999959e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727919725935459e+09 3.690249999999999919e-01 3.648930000000000229e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727929752883673e+09 3.528530000000000277e-01 3.583939999999999904e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727939790819645e+09 3.503760000000000208e-01 3.426580000000000181e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727949844491005e+09 3.329690000000000150e-01 3.410560000000000258e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727959885149002e+09 3.312640000000000029e-01 3.194839999999999902e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727969923001051e+09 3.153349999999999764e-01 3.208150000000000168e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727979959532261e+09 3.144959999999999978e-01 3.058069999999999955e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634727989998497248e+09 3.008540000000000103e-01 3.059700000000000197e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728000042043209e+09 3.016639999999999877e-01 2.956559999999999744e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728010075599909e+09 2.878390000000000115e-01 2.925130000000000230e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728020098148108e+09 2.880949999999999900e-01 2.835059999999999802e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728030157241106e+09 2.744599999999999818e-01 2.824699999999999989e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728040194311619e+09 2.745779999999999887e-01 2.688420000000000254e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728050232147932e+09 2.598130000000000162e-01 2.680230000000000112e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728060290573835e+09 2.624889999999999723e-01 2.575149999999999939e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728070344403028e+09 2.518299999999999983e-01 2.557789999999999786e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728080388826132e+09 2.483329999999999982e-01 2.489190000000000014e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728090432583332e+09 2.434149999999999925e-01 2.453480000000000105e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728100472719431e+09 2.398730000000000029e-01 2.304910000000000014e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728110505381107e+09 2.249740000000000073e-01 2.338689999999999936e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728120542766094e+09 2.258259999999999990e-01 2.277270000000000127e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728130588031292e+09 2.196859999999999924e-01 2.255790000000000017e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728140625450611e+09 2.193009999999999959e-01 2.165710000000000135e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728150678838730e+09 2.086919999999999886e-01 2.151689999999999992e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728160720659018e+09 2.076620000000000132e-01 2.067080000000000028e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728170753885984e+09 1.974140000000000061e-01 2.051920000000000133e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728180790159941e+09 1.975139999999999951e-01 1.935020000000000073e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728190832958221e+09 1.875189999999999912e-01 1.932840000000000114e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728200857756376e+09 1.871510000000000118e-01 1.865130000000000121e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728210898681641e+09 1.807769999999999933e-01 1.840299999999999991e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728220949149847e+09 1.798780000000000101e-01 1.755480000000000096e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728230987519026e+09 1.687099999999999989e-01 1.744090000000000085e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728241031855345e+09 1.687549999999999883e-01 1.665210000000000024e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728251055932999e+09 1.592280000000000084e-01 1.658179999999999932e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728261087490320e+09 1.591720000000000079e-01 1.591390000000000027e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728271135131836e+09 1.499310000000000087e-01 1.575249999999999984e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728281191982269e+09 1.497670000000000112e-01 1.505060000000000009e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728291244636774e+09 1.435960000000000014e-01 1.492640000000000078e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728301300683260e+09 1.422269999999999923e-01 1.414769999999999917e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728311355697393e+09 1.337810000000000110e-01 1.403610000000000135e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728321400470972e+09 1.334150000000000058e-01 1.326440000000000119e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728331461661577e+09 1.262340000000000129e-01 1.322319999999999884e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728341499298096e+09 1.254639999999999922e-01 1.251069999999999960e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728351551653862e+09 1.182590000000000030e-01 1.244870000000000004e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728361588165522e+09 1.173789999999999972e-01 1.167949999999999960e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728371633589029e+09 1.100850000000000023e-01 1.162429999999999991e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728381683381796e+09 1.098090000000000038e-01 1.099350000000000049e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728391736022711e+09 1.032140000000000002e-01 1.087069999999999981e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728401774189711e+09 1.024850000000000066e-01 1.035699999999999954e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728411809163570e+09 9.528670000000000195e-02 1.026299999999999990e-01
3.160000000000000142e+01 0.000000000000000000e+00 1.634728421845979452e+09 9.521519999999999984e-02 9.569439999999999891e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728431882829905e+09 8.899350000000000316e-02 9.533750000000000557e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728441926710129e+09 8.854510000000000158e-02 8.875979999999999981e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728451978676796e+09 8.340019999999999378e-02 8.848649999999999571e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728462024017572e+09 8.262569999999999637e-02 8.358509999999999551e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728472081060410e+09 7.676130000000000453e-02 8.339069999999999816e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728482105492115e+09 7.641090000000000382e-02 7.790410000000000390e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728492161372662e+09 7.146890000000000187e-02 7.748019999999999907e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728502195841074e+09 7.108159999999999479e-02 7.316490000000000493e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728512233126879e+09 6.640440000000000231e-02 7.295139999999999958e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728522288076878e+09 6.622069999999999346e-02 6.852129999999999332e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728532313701868e+09 6.159189999999999804e-02 6.832409999999999872e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728542369563580e+09 6.140899999999999831e-02 6.385430000000000272e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728552425234079e+09 5.742989999999999901e-02 6.376170000000000448e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728562469336987e+09 5.720100000000000184e-02 6.027670000000000250e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728572524481773e+09 5.359239999999999837e-02 5.999349999999999822e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728582567214012e+09 5.330220000000000097e-02 5.665810000000000290e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728592603690147e+09 5.004270000000000246e-02 5.659259999999999985e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728602645214319e+09 4.998840000000000228e-02 5.344689999999999858e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728612690591812e+09 4.656339999999999785e-02 5.329679999999999834e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728622729552984e+09 4.650900000000000173e-02 5.039520000000000111e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728632766348124e+09 4.400950000000000001e-02 5.016299999999999926e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728642813585520e+09 4.385200000000000209e-02 4.789720000000000089e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728652850940943e+09 4.137659999999999949e-02 4.778559999999999752e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728662891921997e+09 4.127519999999999800e-02 4.559400000000000258e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728672933666229e+09 3.892690000000000039e-02 4.545989999999999753e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728682973043680e+09 3.890679999999999833e-02 4.329270000000000340e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728693021044493e+09 3.663929999999999965e-02 4.317370000000000235e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728703063088894e+09 3.654650000000000259e-02 4.122970000000000107e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728713104090691e+09 3.475229999999999986e-02 4.110869999999999802e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728723146174192e+09 3.464300000000000018e-02 3.958640000000000075e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728733168829679e+09 3.294949999999999962e-02 3.940359999999999696e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728743204683065e+09 3.290860000000000313e-02 3.786849999999999938e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728753243783236e+09 3.134640000000000343e-02 3.786380000000000301e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728763272236347e+09 3.129320000000000018e-02 3.659629999999999828e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728773313462496e+09 2.993600000000000080e-02 3.653239999999999960e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728783361696959e+09 2.987100000000000172e-02 3.527269999999999711e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728793416039705e+09 2.860089999999999855e-02 3.521230000000000193e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728803460344553e+09 2.855850000000000055e-02 3.373280000000000028e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728813507658720e+09 2.737310000000000090e-02 3.375460000000000266e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728823542876482e+09 2.734400000000000025e-02 3.281440000000000051e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728833586128473e+09 2.614520000000000038e-02 3.279569999999999708e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728843633001328e+09 2.605529999999999999e-02 3.175270000000000176e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728853676081419e+09 2.525929999999999842e-02 3.173139999999999988e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728863718113184e+09 2.525809999999999861e-02 3.095849999999999991e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728873757789135e+09 2.437639999999999946e-02 3.086059999999999845e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728883797237396e+09 2.433750000000000149e-02 3.006069999999999923e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728893834884405e+09 2.353610000000000077e-02 3.005810000000000079e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728903881473780e+09 2.346890000000000087e-02 2.941869999999999902e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728913934414625e+09 2.307110000000000063e-02 2.932049999999999934e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728923968842506e+09 2.291990000000000000e-02 2.870249999999999885e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728934027126312e+09 2.192119999999999833e-02 2.865780000000000063e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728944067335367e+09 2.190020000000000161e-02 2.812030000000000085e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728954127837420e+09 2.129479999999999915e-02 2.797200000000000034e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728964169664860e+09 2.135369999999999976e-02 2.757619999999999863e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728974211323500e+09 2.084410000000000082e-02 2.745320000000000052e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728984257836342e+09 2.085009999999999988e-02 2.692179999999999920e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634728994305768728e+09 2.043690000000000090e-02 2.688890000000000030e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729004348455429e+09 2.030519999999999894e-02 2.647489999999999913e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729014382698536e+09 1.998569999999999861e-02 2.641349999999999948e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729024429808855e+09 1.986740000000000034e-02 2.611360000000000070e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729034471924305e+09 1.942030000000000145e-02 2.602830000000000074e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729044509824753e+09 1.930799999999999877e-02 2.567360000000000128e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729054565722466e+09 1.904389999999999902e-02 2.560399999999999829e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729064608124495e+09 1.905779999999999974e-02 2.520119999999999999e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729074644226551e+09 1.840850000000000125e-02 2.516360000000000124e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729084675724268e+09 1.845019999999999993e-02 2.490049999999999902e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729094701783180e+09 1.815229999999999969e-02 2.485479999999999981e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729104753949642e+09 1.812019999999999950e-02 2.451899999999999913e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729114791616201e+09 1.773780000000000148e-02 2.448320000000000010e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729124839653492e+09 1.771110000000000045e-02 2.417669999999999889e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729134890856981e+09 1.756380000000000094e-02 2.422699999999999854e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729144942761421e+09 1.749130000000000129e-02 2.396150000000000016e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729154980837822e+09 1.726979999999999835e-02 2.395140000000000116e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729165027261257e+09 1.722910000000000066e-02 2.374429999999999943e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729175085226774e+09 1.681720000000000090e-02 2.368359999999999910e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729185121154308e+09 1.687419999999999892e-02 2.348240000000000050e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729195173334599e+09 1.656039999999999943e-02 2.345879999999999840e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729205212155581e+09 1.660330000000000139e-02 2.323139999999999927e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729215245149851e+09 1.634299999999999989e-02 2.317839999999999831e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729225284099817e+09 1.635680000000000120e-02 2.295240000000000127e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729235328183413e+09 1.637040000000000023e-02 2.296269999999999908e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729245373962641e+09 1.624480000000000021e-02 2.271669999999999939e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729255407787800e+09 1.586629999999999985e-02 2.274270000000000111e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729265460739374e+09 1.585610000000000144e-02 2.266529999999999934e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729275496411085e+09 1.563020000000000034e-02 2.265040000000000109e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729285539903402e+09 1.563979999999999884e-02 2.247620000000000173e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729295572448492e+09 1.558089999999999996e-02 2.247139999999999901e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729305613104343e+09 1.554159999999999917e-02 2.230199999999999891e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729315653183699e+09 1.532760000000000025e-02 2.228569999999999857e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729325698275089e+09 1.531249999999999972e-02 2.216469999999999899e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729335731529474e+09 1.530560000000000080e-02 2.213060000000000027e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729345768274784e+09 1.519170000000000069e-02 2.189460000000000017e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729355822841883e+09 1.491519999999999999e-02 2.190080000000000152e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729365857213736e+09 1.492120000000000078e-02 2.185880000000000115e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729375901129723e+09 1.480710000000000012e-02 2.182150000000000062e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729385947273493e+09 1.484429999999999951e-02 2.168029999999999957e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729395987802029e+09 1.465810000000000030e-02 2.172160000000000063e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729406043338776e+09 1.464969999999999987e-02 2.157970000000000027e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729416083148956e+09 1.445439999999999919e-02 2.160240000000000077e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729426128063440e+09 1.445049999999999980e-02 2.147750000000000006e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729436172229290e+09 1.432160000000000030e-02 2.150410000000000169e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729446213366032e+09 1.431280000000000052e-02 2.142020000000000035e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729456248759270e+09 1.426440000000000000e-02 2.140080000000000107e-02
3.160000000000000142e+01 0.000000000000000000e+00 1.634729466280943632e+09 1.420719999999999969e-02 2.127949999999999980e-02
