# Start time is 11:06:27
# range = 31.6uA
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
1.000000000000000056e-01 1.634720787842822313e+09 9.785500000000000795e-03 1.878099999999999908e-02
1.000000000000000056e-01 1.634720799530712366e+09 9.854800000000000365e-03 1.878099999999999908e-02
1.000000000000000056e-01 1.634720809567961454e+09 9.854800000000000365e-03 1.889429999999999929e-02
1.000000000000000056e-01 1.634720819600634813e+09 9.834199999999999539e-03 1.889429999999999929e-02
1.000000000000000056e-01 1.634720829652501106e+09 9.834199999999999539e-03 1.878780000000000033e-02
1.000000000000000056e-01 1.634720839694753170e+09 9.769800000000000359e-03 1.878780000000000033e-02
1.000000000000000056e-01 1.634720849731121778e+09 9.769800000000000359e-03 1.891019999999999854e-02
1.000000000000000056e-01 1.634720859777863979e+09 9.813900000000000401e-03 1.891019999999999854e-02
1.000000000000000056e-01 1.634720869822666407e+09 9.813900000000000401e-03 1.885370000000000101e-02
1.000000000000000056e-01 1.634720879846592426e+09 9.834900000000000586e-03 1.885370000000000101e-02
1.000000000000000056e-01 1.634720889876073360e+09 9.834900000000000586e-03 1.896310000000000009e-02
1.000000000000000056e-01 1.634720899902952433e+09 9.806900000000000339e-03 1.896310000000000009e-02
1.000000000000000056e-01 1.634720909943357706e+09 9.806900000000000339e-03 1.893099999999999991e-02
1.000000000000000056e-01 1.634720919983483791e+09 9.809399999999999370e-03 1.893099999999999991e-02
1.000000000000000056e-01 1.634720930019511700e+09 9.809399999999999370e-03 1.873700000000000018e-02
1.000000000000000056e-01 1.634720940071609974e+09 9.814299999999999760e-03 1.873700000000000018e-02
1.000000000000000056e-01 1.634720950102890730e+09 9.814299999999999760e-03 1.909740000000000049e-02
1.000000000000000056e-01 1.634720960132405996e+09 9.868000000000000035e-03 1.909740000000000049e-02
1.000000000000000056e-01 1.634720970159875631e+09 9.868000000000000035e-03 1.890789999999999832e-02
1.000000000000000056e-01 1.634720980215169907e+09 9.882300000000000112e-03 1.890789999999999832e-02
1.000000000000000056e-01 1.634720990239420414e+09 9.882300000000000112e-03 1.891970000000000110e-02
1.000000000000000056e-01 1.634721000290779352e+09 9.902799999999999797e-03 1.891970000000000110e-02
1.000000000000000056e-01 1.634721010333997250e+09 9.902799999999999797e-03 1.886689999999999895e-02
1.000000000000000056e-01 1.634721020375060558e+09 9.825999999999999665e-03 1.886689999999999895e-02
1.000000000000000056e-01 1.634721030417660236e+09 9.825999999999999665e-03 1.886459999999999873e-02
1.000000000000000056e-01 1.634721040459983587e+09 9.822600000000000775e-03 1.886459999999999873e-02
1.000000000000000056e-01 1.634721050507543802e+09 9.822600000000000775e-03 1.880350000000000077e-02
1.000000000000000056e-01 1.634721060542535067e+09 9.891699999999999798e-03 1.880350000000000077e-02
1.000000000000000056e-01 1.634721070578428507e+09 9.891699999999999798e-03 1.878869999999999846e-02
