# Start time is 11:15:41
# Range 31.6uA
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
1.000000000000000000e+00 1.634721341810122728e+09 9.874400000000000191e-03 1.891359999999999916e-02
1.000000000000000000e+00 1.634721353511699438e+09 9.849399999999999475e-03 1.876780000000000115e-02
1.000000000000000000e+00 1.634721363557741642e+09 9.833500000000000227e-03 1.899139999999999856e-02
1.000000000000000000e+00 1.634721373597571611e+09 9.830200000000000743e-03 1.890069999999999945e-02
1.000000000000000000e+00 1.634721383643827438e+09 9.849300000000000069e-03 1.875510000000000024e-02
1.000000000000000000e+00 1.634721393699145317e+09 9.925399999999999154e-03 1.871520000000000128e-02
1.000000000000000000e+00 1.634721403738469839e+09 9.878800000000000081e-03 1.886229999999999851e-02
1.000000000000000000e+00 1.634721413789060593e+09 9.870000000000000301e-03 1.888650000000000051e-02
1.000000000000000000e+00 1.634721423831578016e+09 9.838400000000000617e-03 1.886969999999999967e-02
1.000000000000000000e+00 1.634721433873417377e+09 9.857100000000000584e-03 1.883450000000000055e-02
1.000000000000000000e+00 1.634721443911598682e+09 9.886799999999999408e-03 1.888849999999999904e-02
1.000000000000000000e+00 1.634721453946060181e+09 9.873099999999999238e-03 1.881580000000000058e-02
1.000000000000000000e+00 1.634721463969790220e+09 9.875600000000000003e-03 1.893720000000000125e-02
1.000000000000000000e+00 1.634721474021885872e+09 9.875500000000000597e-03 1.880700000000000080e-02
1.000000000000000000e+00 1.634721484076190233e+09 9.855499999999999677e-03 1.901500000000000065e-02
1.000000000000000000e+00 1.634721494118505478e+09 9.895199999999999829e-03 1.898769999999999972e-02
1.000000000000000000e+00 1.634721504177830696e+09 9.891999999999999751e-03 1.892920000000000019e-02
1.000000000000000000e+00 1.634721514221652746e+09 9.951399999999999135e-03 1.891170000000000004e-02
1.000000000000000000e+00 1.634721524251507521e+09 9.904800000000000063e-03 1.865090000000000151e-02
1.000000000000000000e+00 1.634721534275423288e+09 9.814399999999999166e-03 1.881439999999999849e-02
1.000000000000000000e+00 1.634721544319287777e+09 9.841700000000000101e-03 1.875910000000000077e-02
1.000000000000000000e+00 1.634721554358761549e+09 9.859899999999999567e-03 1.878760000000000152e-02
1.000000000000000000e+00 1.634721564384091854e+09 9.878899999999999487e-03 1.888379999999999920e-02
1.000000000000000000e+00 1.634721574416568756e+09 9.884600000000000330e-03 1.883050000000000002e-02
1.000000000000000000e+00 1.634721584473530531e+09 9.910900000000000265e-03 1.892479999999999857e-02
1.000000000000000000e+00 1.634721594514302731e+09 9.943399999999999808e-03 1.885349999999999873e-02
1.000000000000000000e+00 1.634721604541009426e+09 9.888900000000000814e-03 1.883659999999999848e-02
1.000000000000000000e+00 1.634721614589084387e+09 9.858300000000000396e-03 1.882290000000000005e-02
1.000000000000000000e+00 1.634721624628350496e+09 9.841100000000000195e-03 1.895900000000000016e-02
1.000000000000000000e+00 1.634721634671693563e+09 9.870699999999999613e-03 1.901550000000000115e-02
1.000000000000000000e+00 1.634721644707681417e+09 9.897100000000000689e-03 1.890319999999999848e-02
1.000000000000000000e+00 1.634721654751958370e+09 9.917999999999999733e-03 1.894119999999999832e-02
1.000000000000000000e+00 1.634721664787532091e+09 9.909599999999999312e-03 1.895929999999999838e-02
1.000000000000000000e+00 1.634721674819819450e+09 9.912300000000000624e-03 1.886190000000000089e-02
1.000000000000000000e+00 1.634721684852813244e+09 9.890799999999999939e-03 1.892599999999999838e-02
1.000000000000000000e+00 1.634721694899641752e+09 9.889000000000000221e-03 1.893569999999999975e-02
1.000000000000000000e+00 1.634721704928830385e+09 9.862900000000000833e-03 1.906740000000000171e-02
1.000000000000000000e+00 1.634721714955319881e+09 9.868200000000000582e-03 1.891450000000000076e-02
1.000000000000000000e+00 1.634721725000438452e+09 9.909700000000000453e-03 1.902589999999999837e-02
1.000000000000000000e+00 1.634721735042333603e+09 9.898099999999999954e-03 1.902790000000000037e-02
1.000000000000000000e+00 1.634721745100178957e+09 9.880299999999999847e-03 1.896339999999999831e-02
1.000000000000000000e+00 1.634721755154446363e+09 9.856800000000000631e-03 1.889069999999999985e-02
1.000000000000000000e+00 1.634721765205917358e+09 9.843700000000000366e-03 1.868039999999999978e-02
1.000000000000000000e+00 1.634721775249237537e+09 9.882800000000000612e-03 1.868770000000000153e-02
1.000000000000000000e+00 1.634721785307148457e+09 9.881100000000000300e-03 1.908050000000000024e-02
1.000000000000000000e+00 1.634721795351572752e+09 9.900600000000000719e-03 1.902679999999999996e-02
1.000000000000000000e+00 1.634721805398741722e+09 9.878899999999999487e-03 1.917709999999999901e-02
1.000000000000000000e+00 1.634721815435326576e+09 9.829799999999999649e-03 1.910560000000000036e-02
1.000000000000000000e+00 1.634721825461608171e+09 9.855499999999999677e-03 1.899280000000000065e-02
1.000000000000000000e+00 1.634721835506445646e+09 9.894000000000000017e-03 1.894070000000000129e-02
1.000000000000000000e+00 1.634721845552917719e+09 9.906699999999999187e-03 1.895650000000000113e-02
1.000000000000000000e+00 1.634721855594075918e+09 9.875000000000000097e-03 1.893289999999999904e-02
1.000000000000000000e+00 1.634721865636490822e+09 9.895799999999999735e-03 1.871369999999999978e-02
1.000000000000000000e+00 1.634721875658822298e+09 9.877399999999999722e-03 1.882400000000000045e-02
1.000000000000000000e+00 1.634721885705482244e+09 9.883599999999999330e-03 1.893620000000000025e-02
1.000000000000000000e+00 1.634721895742728472e+09 9.861999999999999239e-03 1.884359999999999855e-02
1.000000000000000000e+00 1.634721905784087896e+09 9.884600000000000330e-03 1.889829999999999982e-02
1.000000000000000000e+00 1.634721915820909500e+09 9.894800000000000470e-03 1.888209999999999888e-02
1.000000000000000000e+00 1.634721925868369341e+09 9.911299999999999624e-03 1.893190000000000150e-02
1.000000000000000000e+00 1.634721935911041975e+09 9.905799999999999328e-03 1.885809999999999917e-02
1.000000000000000000e+00 1.634721945969341278e+09 9.868699999999999348e-03 1.876310000000000131e-02
1.000000000000000000e+00 1.634721956009284496e+09 9.883100000000000565e-03 1.877049999999999899e-02
1.000000000000000000e+00 1.634721966055078030e+09 9.885899999999999549e-03 1.901649999999999868e-02
1.000000000000000000e+00 1.634721976092828751e+09 9.895799999999999735e-03 1.901479999999999837e-02
1.000000000000000000e+00 1.634721986139610529e+09 9.886400000000000049e-03 1.899230000000000015e-02
1.000000000000000000e+00 1.634721996187978983e+09 9.875099999999999503e-03 1.889530000000000029e-02
1.000000000000000000e+00 1.634722006227456570e+09 9.877099999999999769e-03 1.884100000000000011e-02
1.000000000000000000e+00 1.634722016286457300e+09 9.899899999999999672e-03 1.883539999999999867e-02
1.000000000000000000e+00 1.634722026323340178e+09 9.888700000000000268e-03 1.891309999999999866e-02
1.000000000000000000e+00 1.634722036381603241e+09 9.949400000000000605e-03 1.890789999999999832e-02
1.000000000000000000e+00 1.634722046424417257e+09 9.947199999999999792e-03 1.867919999999999997e-02
1.000000000000000000e+00 1.634722056480471611e+09 9.880800000000000347e-03 1.874220000000000053e-02
1.000000000000000000e+00 1.634722066520629406e+09 9.883700000000000471e-03 1.877289999999999862e-02
1.000000000000000000e+00 1.634722076544831991e+09 9.841799999999999507e-03 1.874620000000000106e-02
1.000000000000000000e+00 1.634722086589911222e+09 9.868399999999999395e-03 1.893720000000000125e-02
1.000000000000000000e+00 1.634722096632247210e+09 9.913599999999999843e-03 1.888859999999999845e-02
1.000000000000000000e+00 1.634722106668812752e+09 9.903000000000000344e-03 1.885070000000000148e-02
1.000000000000000000e+00 1.634722116709193945e+09 9.820000000000000603e-03 1.892790000000000097e-02
1.000000000000000000e+00 1.634722126741952419e+09 9.835699999999999305e-03 1.891069999999999904e-02
1.000000000000000000e+00 1.634722136788707256e+09 9.811099999999999682e-03 1.892040000000000041e-02
1.000000000000000000e+00 1.634722146822716236e+09 9.834300000000000680e-03 1.881129999999999955e-02
1.000000000000000000e+00 1.634722156861861944e+09 9.829499999999999696e-03 1.880510000000000168e-02
1.000000000000000000e+00 1.634722166904732943e+09 9.844800000000000773e-03 1.876339999999999952e-02
1.000000000000000000e+00 1.634722176930570841e+09 9.831400000000000555e-03 1.880640000000000089e-02
1.000000000000000000e+00 1.634722186952686310e+09 9.822100000000000275e-03 1.885770000000000154e-02
1.000000000000000000e+00 1.634722196991518974e+09 9.857400000000000537e-03 1.888899999999999954e-02
