# Start time is 11:54:14
# 1mA
# Range, Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
1.000000000000000000e+00 1.000000000000000000e+02 1.634723654310589790e+09 1.175439999999999992e-02 2.030670000000000044e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723666020933628e+09 1.172489999999999991e-02 2.078510000000000080e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723676046475410e+09 1.485309999999999929e-02 2.104150000000000117e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723686072635412e+09 1.523719999999999936e-02 2.567960000000000034e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723696117275715e+09 2.447219999999999951e-02 2.615059999999999954e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723706159623384e+09 2.520350000000000021e-02 3.210430000000000228e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723716213773966e+09 3.423670000000000185e-02 3.250759999999999761e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723726263892412e+09 3.456999999999999656e-02 3.655830000000000191e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723736330541372e+09 3.840999999999999970e-02 3.701750000000000179e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723746373662472e+09 3.858860000000000068e-02 3.942240000000000327e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723756441811562e+09 4.033529999999999754e-02 3.987460000000000310e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723766478477240e+09 4.136909999999999893e-02 4.223079999999999889e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723776529553890e+09 4.313190000000000079e-02 4.247259999999999924e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723786557613134e+09 4.302580000000000293e-02 4.247259999999999924e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723796605987787e+09 4.302580000000000293e-02 4.463469999999999938e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723806648014069e+09 4.459540000000000032e-02 4.463469999999999938e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723816689693689e+09 4.459540000000000032e-02 4.631579999999999725e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723826748690605e+09 4.598329999999999779e-02 4.631579999999999725e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723836773888588e+09 4.598329999999999779e-02 4.800080000000000319e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723846822616816e+09 4.712009999999999810e-02 4.800080000000000319e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723856882399082e+09 4.712009999999999810e-02 4.894989999999999758e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723866925872087e+09 4.804030000000000106e-02 4.894989999999999758e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723876971490383e+09 4.804030000000000106e-02 4.995340000000000197e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723887014371157e+09 4.901119999999999782e-02 4.995340000000000197e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723897073679686e+09 4.901119999999999782e-02 5.109049999999999703e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723907108926296e+09 4.985910000000000342e-02 5.109049999999999703e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723917146581411e+09 4.985910000000000342e-02 5.188140000000000113e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723927177423954e+09 5.031069999999999987e-02 5.188140000000000113e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723937212286234e+09 5.031069999999999987e-02 5.222040000000000015e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723947257155418e+09 5.085479999999999862e-02 5.222040000000000015e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723957303703785e+09 5.085479999999999862e-02 5.295529999999999682e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723967342438698e+09 5.148679999999999923e-02 5.295529999999999682e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723977384514332e+09 5.148679999999999923e-02 5.349790000000000101e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723987419132471e+09 5.195580000000000337e-02 5.349790000000000101e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634723997456734180e+09 5.195580000000000337e-02 5.381799999999999778e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724007479970217e+09 5.234049999999999814e-02 5.381799999999999778e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724017505178213e+09 5.234049999999999814e-02 5.439809999999999784e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724027541498899e+09 5.275869999999999865e-02 5.525750000000000106e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724037609766006e+09 5.304960000000000231e-02 5.470660000000000106e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724047634759426e+09 5.303909999999999875e-02 5.530170000000000224e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724057672775745e+09 5.270670000000000216e-02 5.496140000000000053e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724067721132755e+09 5.349609999999999782e-02 5.488919999999999910e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724077771855354e+09 5.384520000000000278e-02 5.529760000000000231e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724087812917948e+09 5.346030000000000226e-02 5.590370000000000061e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724097846293688e+09 5.364680000000000143e-02 5.551939999999999653e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724107889734745e+09 5.376159999999999967e-02 5.597520000000000273e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724117927891493e+09 5.356149999999999800e-02 5.569860000000000089e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724127973165512e+09 5.409540000000000182e-02 5.596600000000000186e-02
1.000000000000000000e+00 1.000000000000000000e+02 1.634724138019976616e+09 5.433489999999999848e-02 5.622300000000000214e-02
